,customer_id_nys,sum_samt_0,sum_samt_1,rat_samt,flg_sts
3659,CS019415000156,140,9276,66.25714285714285,1
6666,CS038415000123,202,7940,39.306930693069305,1
5142,CS028515000004,348,11047,31.74425287356322,1
4308,CS023515000153,249,7033,28.244979919678716,1
4210,CS023414000011,178,4672,26.247191011235955,1
2970,CS015515000163,125,3165,25.32,1
5081,CS028414000087,130,3255,25.03846153846154,1
5782,CS032412000180,186,4600,24.731182795698924,1
2315,CS011615000072,218,4880,22.38532110091743,1
5707,CS031515000125,168,3668,21.833333333333332,1
1746,CS008515000115,142,2814,19.816901408450704,1
5970,CS033415000154,168,3162,18.821428571428573,1
3886,CS020515000102,458,8544,18.655021834061134,1
6018,CS033514000006,158,2847,18.018987341772153,1
4919,CS027414000118,223,3996,17.919282511210763,1
5164,CS028515000171,170,3039,17.876470588235293,1
2105,CS010515000052,176,3109,17.664772727272727,1
6852,CS039415000260,215,3765,17.511627906976745,1
6592,CS038214000019,148,2561,17.304054054054053,1
3351,CS017515000197,136,2335,17.169117647058822,1
2114,CS010515000129,291,4924,16.920962199312715,1
4414,CS024415000098,396,6536,16.505050505050505,1
3495,CS018515000013,196,3218,16.418367346938776,1
3986,CS021514000061,358,5731,16.008379888268156,1
2339,CS012214000019,325,5158,15.87076923076923,1
5461,CS030415000167,268,4235,15.802238805970148,1
1464,CS007114000002,276,4356,15.782608695652174,1
4908,CS027414000058,196,3022,15.418367346938776,1
2049,CS010415000175,323,4955,15.340557275541796,1
5698,CS031515000047,163,2496,15.312883435582823,1
3108,CS016513000042,303,4620,15.247524752475247,1
1582,CS007615000058,236,3583,15.182203389830509,1
5518,CS030515000060,295,4473,15.162711864406779,1
3415,CS018414000071,256,3873,15.12890625,1
1946,CS009515000111,203,2963,14.596059113300493,1
5822,CS032415000122,255,3696,14.494117647058824,1
6612,CS038314000063,108,1565,14.49074074074074,1
513,CS002515000290,170,2448,14.4,1
3635,CS019414000098,188,2555,13.590425531914894,1
3737,CS020212000004,278,3773,13.571942446043165,1
3000,CS016211000011,408,5468,13.401960784313726,1
4587,CS025415000136,378,4975,13.161375661375661,1
5802,CS032414000062,560,7325,13.080357142857142,1
6651,CS038414000076,348,4533,13.025862068965518,1
1207,CS005415000024,98,1272,12.979591836734693,1
5886,CS032515000190,468,5936,12.683760683760683,1
4968,CS027513000089,246,3110,12.642276422764228,1
4757,CS026415000154,273,3401,12.457875457875458,1
1613,CS008215000043,222,2747,12.373873873873874,1
2838,CS015211000006,160,1964,12.275,1
4224,CS023415000040,288,3468,12.041666666666666,1
7135,CS044414000004,228,2744,12.035087719298245,1
5289,CS029415000215,408,4890,11.985294117647058,1
3259,CS017414000093,373,4443,11.911528150134048,1
6042,CS033515000125,420,4933,11.745238095238095,1
676,CS003415000232,118,1380,11.694915254237289,1
6723,CS038515000143,266,3094,11.631578947368421,1
101,CS001415000102,498,5734,11.514056224899598,1
7075,CS040615000030,305,3500,11.475409836065573,1
1346,CS006414000017,200,2293,11.465,1
2298,CS011515000205,240,2728,11.366666666666667,1
1927,CS009514000052,188,2116,11.25531914893617,1
6381,CS035515000165,250,2805,11.22,1
5728,CS031815000015,266,2968,11.157894736842104,1
6199,CS034515000161,517,5705,11.034816247582205,1
4779,CS026512000089,405,4429,10.935802469135803,1
6917,CS040212000022,240,2623,10.929166666666667,1
778,CS003515000320,338,3680,10.887573964497042,1
6180,CS034514000065,235,2558,10.885106382978723,1
6835,CS039414000095,250,2712,10.848,1
4074,CS022414000086,142,1516,10.67605633802817,1
1376,CS006415000256,243,2594,10.674897119341564,1
5588,CS031411000026,278,2958,10.640287769784173,1
3435,CS018415000140,448,4763,10.631696428571429,1
453,CS002513000225,230,2438,10.6,1
6668,CS038415000147,989,10319,10.433771486349848,1
3502,CS018515000041,338,3519,10.411242603550296,1
